                                          MasterPlex QT Report By Analyte
    Report Date: 12/9/2005                                                   Run Date: Virtual Plate
    Report Time: 1:06:54 PM                                                  Run Time: Virtual Plate
    Data File: Virtual Plate                                                 Hardware Serial No. : Virtual Plate
    Plate Name: 2005April13 Xenon cyto.mlx                                   Operator: Virtual Plate
    MasterPlex QT Version: 2.0.7.103                                         Analyst: 
                                                                                                      Background:
                                                Analyte Name: GMCSF                              136.333333333333
       Well                  Sample Name                      MFI             Concentration           Unit   Count
        D15            <unnamed> (17101)                    959.5                   3315.45          pg/mL     396
        E15            <unnamed> (17102)                     1050                   3597.30          pg/mL     204
        F15            <unnamed> (17103)                      207                    823.86          pg/mL     253
        G15            <unnamed> (17104)                       23                     56.16          pg/mL     227
        H15            <unnamed> (17105)                       27                     77.99          pg/mL     220
        A16            <unnamed> (17106)                   1089.5                   3719.83          pg/mL     272
        B16            <unnamed> (17107)                      142                    576.52          pg/mL     117
        C16            <unnamed> (17108)                      777                   2740.85          pg/mL     234
        D16            <unnamed> (17109)                      170                    684.68          pg/mL     198
        E16            <unnamed> (17110)                      516                   1896.23          pg/mL     303
        F16            <unnamed> (17111)                       13                   <4.8828          pg/mL      65
        G16            <unnamed> (17112)                     2236                   7247.45          pg/mL     129
        H16            <unnamed> (17113)                      132                    537.16          pg/mL     175
        A17            <unnamed> (17114)                      274                   1067.71          pg/mL     176
        B17            <unnamed> (17115)                      321                   1234.00          pg/mL      80
        C17            <unnamed> (17116)                   3708.5                  12043.59          pg/mL     312
        D17            <unnamed> (17117)                      300                   1160.12          pg/mL     367
        E17            <unnamed> (17118)                       15                      6.10          pg/mL     397
        F17            <unnamed> (17119)                    502.5                   1851.48          pg/mL     288
        G17            <unnamed> (17120)                    239.5                    943.28          pg/mL     106
        H17            <unnamed> (17121)                      223                    882.95          pg/mL     388
                                                 Analyte Name: IL-10                                  Background:
                                                                                                 88.1666666666667
       Well                  Sample Name                      MFI             Concentration           Unit   Count
        A1             <unnamed> (16989)                    10347                  25905.02          pg/mL      67
        B1             <unnamed> (16990)                   4816.5                   4371.33          pg/mL      58
        C1             <unnamed> (16991)                     1607                   1187.35          pg/mL      50
        D1             <unnamed> (16992)                      507                    300.58          pg/mL      54
        E1             <unnamed> (16993)                      186                     64.43          pg/mL      59
        F1             <unnamed> (16994)                     98.5                      5.97          pg/mL      50
        G1             <unnamed> (16995)                      108                     11.90          pg/mL      69
        H1             <unnamed> (16996)                       70                   <4.8828          pg/mL      67
        A2             <unnamed> (16997)                     9782                  18530.94          pg/mL      77
     Virtual Plate                                 Page - 9 of 41                         2005April13 Xenon cyto.mlx

    12/9/2005                                    Report By Analytes                                       1:06:54 PM
       Well                  Sample Name                      MFI             Concentration           Unit   Count
        B2             <unnamed> (16998)                     5337                   5027.08          pg/mL      68
        C2             <unnamed> (16999)                     1694                   1261.08          pg/mL      58
        D2             <unnamed> (17000)                      551                    334.17          pg/mL      53
        E2             <unnamed> (17001)                      184                     63.03          pg/mL      65
        F2             <unnamed> (17002)                      130                     26.21          pg/mL      50
        G2             <unnamed> (17003)                      119                     18.98          pg/mL      75
        H2             <unnamed> (17004)                      113                     15.09          pg/mL      74
        A3             <unnamed> (17005)                     9672                  17606.46          pg/mL      55
        B3             <unnamed> (17006)                     5796                   5659.78          pg/mL      51
        C3             <unnamed> (17007)                     1738                   1298.56          pg/mL      77
        D3             <unnamed> (17008)                      533                    320.40          pg/mL      65
        E3             <unnamed> (17009)                    204.5                     77.39          pg/mL      52
        F3             <unnamed> (17010)                      126                     23.57          pg/mL      50
        G3             <unnamed> (17011)                       98                      5.66          pg/mL      58
        H3             <unnamed> (17012)                     81.5                   <4.8828          pg/mL      60
        A4             <unnamed> (17013)                      138                      0.00          pg/mL      57
        B4             <unnamed> (17014)                      114                      0.00          pg/mL      77
        C4             <unnamed> (17015)                     99.5                      0.00          pg/mL      50
        D4             <unnamed> (17016)                       82                      0.00          pg/mL      60
        E4             <unnamed> (17017)                      334                    170.91          pg/mL      57
        F4             <unnamed> (17018)                      329                    167.23          pg/mL      59
        G4             <unnamed> (17019)                      296                    143.07          pg/mL      58
        H4             <unnamed> (17020)                      351                    183.45          pg/mL      50
        A5             <unnamed> (17021)                   2370.5                   1852.61          pg/mL      50
        B5             <unnamed> (17022)                     2047                   1565.59          pg/mL      65
        C5             <unnamed> (17023)                     2332                   1818.03          pg/mL      55
        D5             <unnamed> (17024)                   2333.5                   1819.37          pg/mL      52
        E5             <unnamed> (17025)                       34                   <4.8828          pg/mL     150
        A6             <unnamed> (17026)                     61.5                   <4.8828          pg/mL      50
        B6             <unnamed> (17027)                       74                   <4.8828          pg/mL      72
        C6             <unnamed> (17028)                       84                   <4.8828          pg/mL      50
        D6             <unnamed> (17029)                       73                   <4.8828          pg/mL      54
        E6             <unnamed> (17030)                       66                   <4.8828          pg/mL      22
        F6             <unnamed> (17031)                       44                   <4.8828          pg/mL     154
        G6             <unnamed> (17032)                       80                   <4.8828          pg/mL      64
        H6             <unnamed> (17033)                       57                   <4.8828          pg/mL     136
        A7             <unnamed> (17034)                       74                   <4.8828          pg/mL     100
        B7             <unnamed> (17035)                       59                   <4.8828          pg/mL      83
        C7             <unnamed> (17036)                       60                   <4.8828          pg/mL      61
        D7             <unnamed> (17037)                     58.5                   <4.8828          pg/mL      64
        E7             <unnamed> (17038)                       76                   <4.8828          pg/mL      63
        F7             <unnamed> (17039)                       59                   <4.8828          pg/mL      73
        G7             <unnamed> (17040)                       76                   <4.8828          pg/mL      61
        H7             <unnamed> (17041)                       89                      2.08          pg/mL      57
        A8             <unnamed> (17042)                       59                   <4.8828          pg/mL      63
        B8             <unnamed> (17043)                       42                   <4.8828          pg/mL      50
        C8             <unnamed> (17044)                    105.5                     51.57          pg/mL      74
        D8             <unnamed> (17045)                       54                   <4.8828          pg/mL      66
     Virtual Plate                                 Page - 10 of 41                        2005April13 Xenon cyto.mlx

    12/9/2005                                    Report By Analytes                                       1:06:54 PM
       Well                  Sample Name                      MFI             Concentration           Unit   Count
        E8             <unnamed> (17046)                     56.5                   <4.8828          pg/mL      50
        F8             <unnamed> (17047)                     57.5                   <4.8828          pg/mL      50
        G8             <unnamed> (17048)                       58                   <4.8828          pg/mL     133
        H8             <unnamed> (17049)                       43                   <4.8828          pg/mL      59
        A9             <unnamed> (17050)                     67.5                   <4.8828          pg/mL      50
        B9             <unnamed> (17051)                       53                   <4.8828          pg/mL      51
        C9             <unnamed> (17052)                       60                   <4.8828          pg/mL      50
        D9             <unnamed> (17053)                       59                   <4.8828          pg/mL     100
        E9             <unnamed> (17054)                       61                   <4.8828          pg/mL      95
        F9             <unnamed> (17055)                       45                   <4.8828          pg/mL      50
        G9             <unnamed> (17056)                     42.5                   <4.8828          pg/mL     124
        H9             <unnamed> (17057)                     68.5                   <4.8828          pg/mL      50
        A10            <unnamed> (17058)                       49                   <4.8828          pg/mL      16
        B10            <unnamed> (17059)                     41.5                   <4.8828          pg/mL      24
        C10            <unnamed> (17060)                     74.5                   <4.8828          pg/mL      62
        D10            <unnamed> (17061)                       42                   <4.8828          pg/mL      19
        E10            <unnamed> (17062)                     40.5                   <4.8828          pg/mL      28
        F10            <unnamed> (17063)                       29                   <4.8828          pg/mL      18
        G10            <unnamed> (17064)                       28                   <4.8828          pg/mL       8
        H10            <unnamed> (17065)                       34                   <4.8828          pg/mL       1
        A11            <unnamed> (17066)                       41                   <4.8828          pg/mL      22
        B11            <unnamed> (17067)                       29                   <4.8828          pg/mL      67
        C11            <unnamed> (17068)                     40.5                   <4.8828          pg/mL      34
        D11            <unnamed> (17069)                       39                   <4.8828          pg/mL      71
        E11            <unnamed> (17070)                       34                   <4.8828          pg/mL      59
        F11            <unnamed> (17071)                       33                   <4.8828          pg/mL      19
        G11            <unnamed> (17072)                       30                   <4.8828          pg/mL      39
        H11            <unnamed> (17073)                       34                   <4.8828          pg/mL      50
        A12            <unnamed> (17074)                       49                   <4.8828          pg/mL      36
        B12            <unnamed> (17075)                     35.5                   <4.8828          pg/mL      36
        C12            <unnamed> (17076)                      106                     53.15          pg/mL      78
        D12            <unnamed> (17077)                       44                   <4.8828          pg/mL      55
        E12            <unnamed> (17078)                       35                   <4.8828          pg/mL      30
        F12            <unnamed> (17079)                       25                   <4.8828          pg/mL      51
        G12            <unnamed> (17080)                       25                   <4.8828          pg/mL      21
        H12            <unnamed> (17081)                       27                   <4.8828          pg/mL      50
        A13            <unnamed> (17082)                     31.5                   <4.8828          pg/mL      50
        B13            <unnamed> (17083)                       25                   <4.8828          pg/mL      35
        C13            <unnamed> (17084)                     47.5                   <4.8828          pg/mL      58
        D13            <unnamed> (17085)                       32                   <4.8828          pg/mL      78
        E13            <unnamed> (17086)                       30                   <4.8828          pg/mL      45
        F13            <unnamed> (17087)                       22                   <4.8828          pg/mL      43
        G13            <unnamed> (17088)                     33.5                   <4.8828          pg/mL      50
        H13            <unnamed> (17089)                     23.5                   <4.8828          pg/mL      50
        A14            <unnamed> (17090)                       25                   <4.8828          pg/mL      61
        B14            <unnamed> (17091)                       20                   <4.8828          pg/mL      29
        C14            <unnamed> (17092)                       23                   <4.8828          pg/mL      70
        D14            <unnamed> (17093)                       29                   <4.8828          pg/mL      83
     Virtual Plate                                 Page - 11 of 41                        2005April13 Xenon cyto.mlx

    12/9/2005                                    Report By Analytes                                       1:06:54 PM
       Well                  Sample Name                      MFI             Concentration           Unit   Count
        E14            <unnamed> (17094)                     21.5                   <4.8828          pg/mL      60
        F14            <unnamed> (17095)                       26                   <4.8828          pg/mL      52
        G14            <unnamed> (17096)                       18                   <4.8828          pg/mL      28
        H14            <unnamed> (17097)                       33                   <4.8828          pg/mL      59
        A15            <unnamed> (17098)                       38                   <4.8828          pg/mL      53
        B15            <unnamed> (17099)                       35                   <4.8828          pg/mL      65
        C15            <unnamed> (17100)                       35                   <4.8828          pg/mL      50
        D15            <unnamed> (17101)                       28                   <4.8828          pg/mL      49
        E15            <unnamed> (17102)                       26                   <4.8828          pg/mL      48
        F15            <unnamed> (17103)                       23                   <4.8828          pg/mL      47
        G15            <unnamed> (17104)                       21                   <4.8828          pg/mL      44
        H15            <unnamed> (17105)                       45                   <4.8828          pg/mL      34
        A16            <unnamed> (17106)                     29.5                   <4.8828          pg/mL      50
        B16            <unnamed> (17107)                       33                   <4.8828          pg/mL      50
        C16            <unnamed> (17108)                       47                   <4.8828          pg/mL      70
        D16            <unnamed> (17109)                       33                   <4.8828          pg/mL      50
        E16            <unnamed> (17110)                       19                   <4.8828          pg/mL      42
        F16            <unnamed> (17111)                       98                     28.30          pg/mL      57
        G16            <unnamed> (17112)                       33                   <4.8828          pg/mL      60
        H16            <unnamed> (17113)                       31                   <4.8828          pg/mL      75
        A17            <unnamed> (17114)                     30.5                   <4.8828          pg/mL      50
        B17            <unnamed> (17115)                       32                   <4.8828          pg/mL      50
        C17            <unnamed> (17116)                       37                   <4.8828          pg/mL      19
        D17            <unnamed> (17117)                       39                   <4.8828          pg/mL      62
        E17            <unnamed> (17118)                     40.5                   <4.8828          pg/mL      42
        F17            <unnamed> (17119)                       37                   <4.8828          pg/mL      68
        G17            <unnamed> (17120)                       34                   <4.8828          pg/mL      50
        H17            <unnamed> (17121)                     45.5                   <4.8828          pg/mL      50
                                               Analyte Name: IL-12p70                              Background: 12
       Well                  Sample Name                      MFI             Concentration           Unit   Count
        A1             <unnamed> (16989)                    11971                  19181.68          pg/mL      72
        B1             <unnamed> (16990)                     4866                   4550.44          pg/mL      71
        C1             <unnamed> (16991)                     1641                   1232.03          pg/mL      61
        D1             <unnamed> (16992)                      361                    272.70          pg/mL      51
        E1             <unnamed> (16993)                       53                     44.21          pg/mL      64
        F1             <unnamed> (16994)                       21                     13.32          pg/mL      65
        G1             <unnamed> (16995)                       15                      5.72          pg/mL      71
        H1             <unnamed> (16996)                       11                   <4.8828          pg/mL      65
        A2             <unnamed> (16997)                  12361.5                  20421.58          pg/mL      76
        B2             <unnamed> (16998)                     5472                   5351.81          pg/mL      77
        C2             <unnamed> (16999)                     1618                   1213.34          pg/mL      82
        D2             <unnamed> (17000)                      476                    354.02          pg/mL      68
        E2             <unnamed> (17001)                       93                     77.21          pg/mL      77
        F2             <unnamed> (17002)                       28                     20.88          pg/mL      79
        G2             <unnamed> (17003)                       15                      5.72          pg/mL      64
     Virtual Plate                                 Page - 12 of 41                        2005April13 Xenon cyto.mlx

    12/9/2005                                    Report By Analytes                                       1:06:54 PM
       Well                  Sample Name                      MFI             Concentration           Unit   Count
        H2             <unnamed> (17004)                       12                   <4.8828          pg/mL      61
        A3             <unnamed> (17005)                    12362                  20423.21          pg/mL      57
        B3             <unnamed> (17006)                     5285                   5097.72          pg/mL      50
        C3             <unnamed> (17007)                     1763                   1332.20          pg/mL      75
        D3             <unnamed> (17008)                      392                    294.63          pg/mL      70
        E3             <unnamed> (17009)                     78.5                     65.59          pg/mL      70
        F3             <unnamed> (17010)                       29                     21.90          pg/mL      70
        G3             <unnamed> (17011)                       15                      5.72          pg/mL      67
        H3             <unnamed> (17012)                       13                      2.49          pg/mL      51
        A4             <unnamed> (17013)                       20                      0.00          pg/mL      63
        B4             <unnamed> (17014)                       20                      0.00          pg/mL      90
        C4             <unnamed> (17015)                       15                      0.00          pg/mL      64
        D4             <unnamed> (17016)                       12                      0.00          pg/mL      55
        E4             <unnamed> (17017)                      184                    145.97          pg/mL      78
        F4             <unnamed> (17018)                      226                    176.49          pg/mL      64
        G4             <unnamed> (17019)                    156.5                    125.69          pg/mL      50
        H4             <unnamed> (17020)                      211                    165.64          pg/mL      66
        A5             <unnamed> (17021)                     1979                   1513.90          pg/mL      59
        B5             <unnamed> (17022)                     2087                   1606.87          pg/mL      81
        C5             <unnamed> (17023)                     2329                   1820.49          pg/mL      59
        D5             <unnamed> (17024)                     2449                   1929.18          pg/mL      61
        E5             <unnamed> (17025)                       92                    382.08          pg/mL     251
        A6             <unnamed> (17026)                       27                     99.24          pg/mL      86
        B6             <unnamed> (17027)                      304                   1161.42          pg/mL     128
        C6             <unnamed> (17028)                     63.5                    265.98          pg/mL      60
        D6             <unnamed> (17029)                     11.5                   <4.8828          pg/mL      78
        E6             <unnamed> (17030)                       47                    194.55          pg/mL     261
        F6             <unnamed> (17031)                      387                   1455.46          pg/mL     347
        G6             <unnamed> (17032)                       85                    354.17          pg/mL      77
        H6             <unnamed> (17033)                       91                    378.11          pg/mL     257
        A7             <unnamed> (17034)                       53                    221.03          pg/mL     159
        B7             <unnamed> (17035)                      153                    615.44          pg/mL     139
        C7             <unnamed> (17036)                     1331                   4925.95          pg/mL     133
        D7             <unnamed> (17037)                      462                   1720.59          pg/mL     128
        E7             <unnamed> (17038)                      676                   2482.04          pg/mL     105
        F7             <unnamed> (17039)                      208                    817.33          pg/mL      55
        G7             <unnamed> (17040)                       12                   <4.8828          pg/mL      68
        H7             <unnamed> (17041)                       21                     66.59          pg/mL      70
        A8             <unnamed> (17042)                    617.5                   2272.71          pg/mL     204
        B8             <unnamed> (17043)                    182.5                    724.38          pg/mL      76
        C8             <unnamed> (17044)                      675                   2478.46          pg/mL      95
        D8             <unnamed> (17045)                      208                    817.33          pg/mL      71
        E8             <unnamed> (17046)                   1641.5                   6162.20          pg/mL      82
        F8             <unnamed> (17047)                       52                    216.67          pg/mL      73
        G8             <unnamed> (17048)                      499                   1851.54          pg/mL     365
        H8             <unnamed> (17049)                     95.5                    395.92          pg/mL     144
        A9             <unnamed> (17050)                    102.5                    423.38          pg/mL      76
        B9             <unnamed> (17051)                      338                   1282.06          pg/mL      78
     Virtual Plate                                 Page - 13 of 41                        2005April13 Xenon cyto.mlx

    12/9/2005                                    Report By Analytes                                       1:06:54 PM
       Well                  Sample Name                      MFI             Concentration           Unit   Count
        C9             <unnamed> (17052)                     1036                   3799.89          pg/mL      67
        D9             <unnamed> (17053)                      365                   1377.65          pg/mL     203
        E9             <unnamed> (17054)                       74                    309.59          pg/mL     127
        F9             <unnamed> (17055)                      192                    759.12          pg/mL      77
        G9             <unnamed> (17056)                      234                    911.26          pg/mL     256
        H9             <unnamed> (17057)                      242                    940.03          pg/mL     108
        A10            <unnamed> (17058)                       25                     88.70          pg/mL     350
        B10            <unnamed> (17059)                      257                    993.81          pg/mL     347
        C10            <unnamed> (17060)                      300                   1147.20          pg/mL      79
        D10            <unnamed> (17061)                       14                     21.00          pg/mL     432
        E10            <unnamed> (17062)                       58                    242.63          pg/mL     380
        F10            <unnamed> (17063)                      435                   1625.13          pg/mL     361
        G10            <unnamed> (17064)                       51                    212.28          pg/mL     377
        H10            <unnamed> (17065)                       93                    386.04          pg/mL     251
        A11            <unnamed> (17066)                      229                    893.25          pg/mL     359
        B11            <unnamed> (17067)                      151                    607.99          pg/mL     241
        C11            <unnamed> (17068)                     1196                   4405.02          pg/mL     344
        D11            <unnamed> (17069)                      296                   1132.97          pg/mL     173
        E11            <unnamed> (17070)                      698                   2561.06          pg/mL     386
        F11            <unnamed> (17071)                      122                    498.63          pg/mL     383
        G11            <unnamed> (17072)                       10                   <4.8828          pg/mL     247
        H11            <unnamed> (17073)                       15                     28.59          pg/mL     223
        A12            <unnamed> (17074)                      589                   2171.10          pg/mL     268
        B12            <unnamed> (17075)                      422                   1579.17          pg/mL     337
        C12            <unnamed> (17076)                    953.5                   3492.81          pg/mL     282
        D12            <unnamed> (17077)                     1175                   4324.85          pg/mL      84
        E12            <unnamed> (17078)                      455                   1695.84          pg/mL     379
        F12            <unnamed> (17079)                       90                    374.14          pg/mL     342
        G12            <unnamed> (17080)                     1567                   5860.60          pg/mL     328
        H12            <unnamed> (17081)                     87.5                    364.18          pg/mL     184
        A13            <unnamed> (17082)                     1290                   4766.71          pg/mL     200
        B13            <unnamed> (17083)                      929                   3402.24          pg/mL     262
        C13            <unnamed> (17084)                     1989                   7612.23          pg/mL     102
        D13            <unnamed> (17085)                      188                    744.51          pg/mL     431
        E13            <unnamed> (17086)                    205.5                    808.26          pg/mL     310
        F13            <unnamed> (17087)                      132                    536.63          pg/mL     351
        G13            <unnamed> (17088)                      830                   3039.01          pg/mL     397
        H13            <unnamed> (17089)                      637                   2342.36          pg/mL     211
        A14            <unnamed> (17090)                       19                     54.80          pg/mL     223
        B14            <unnamed> (17091)                      281                   1079.55          pg/mL     342
        C14            <unnamed> (17092)                      259                   1000.97          pg/mL     342
        D14            <unnamed> (17093)                       11                   <4.8828          pg/mL     155
        E14            <unnamed> (17094)                      125                    510.07          pg/mL     243
        F14            <unnamed> (17095)                      228                    889.65          pg/mL     380
        G14            <unnamed> (17096)                       21                     66.59          pg/mL     234
        H14            <unnamed> (17097)                       52                    216.67          pg/mL     165
        A15            <unnamed> (17098)                      146                    589.31          pg/mL     145
        B15            <unnamed> (17099)                      144                    581.82          pg/mL     343
     Virtual Plate                                 Page - 14 of 41                        2005April13 Xenon cyto.mlx

    12/9/2005                                    Report By Analytes                                       1:06:54 PM
       Well                  Sample Name                      MFI             Concentration           Unit   Count
        C15            <unnamed> (17100)                      652                   2396.03          pg/mL     239
        D15            <unnamed> (17101)                      482                   1791.35          pg/mL     403
        E15            <unnamed> (17102)                      828                   3031.71          pg/mL     214
        F15            <unnamed> (17103)                       91                    378.11          pg/mL     280
        G15            <unnamed> (17104)                       12                   <4.8828          pg/mL     226
        H15            <unnamed> (17105)                       14                     21.00          pg/mL     216
        A16            <unnamed> (17106)                      445                   1660.48          pg/mL     279
        B16            <unnamed> (17107)                      150                    604.25          pg/mL     135
        C16            <unnamed> (17108)                      298                   1140.08          pg/mL     245
        D16            <unnamed> (17109)                       98                    405.75          pg/mL     227
        E16            <unnamed> (17110)                    190.5                    753.64          pg/mL     296
        F16            <unnamed> (17111)                       12                   <4.8828          pg/mL      62
        G16            <unnamed> (17112)                     1670                   6278.43          pg/mL     111
        H16            <unnamed> (17113)                       53                    221.03          pg/mL     168
        A17            <unnamed> (17114)                      132                    536.63          pg/mL     219
        B17            <unnamed> (17115)                      122                    498.63          pg/mL      70
        C17            <unnamed> (17116)                   2455.5                   9675.61          pg/mL     300
        D17            <unnamed> (17117)                      168                    671.05          pg/mL     382
        E17            <unnamed> (17118)                     67.5                    282.73          pg/mL     402
        F17            <unnamed> (17119)                      302                   1154.31          pg/mL     293
        G17            <unnamed> (17120)                      130                    529.06          pg/mL     123
        H17            <unnamed> (17121)                      103                    425.33          pg/mL     371
                                                                                                      Background:
                                                 Analyte Name: IL-18                             18.6666666666667
       Well                  Sample Name                      MFI             Concentration           Unit   Count
        A1             <unnamed> (16989)                     8135                  22889.06          pg/mL      81
        B1             <unnamed> (16990)                     4241                   4757.17          pg/mL      65
        C1             <unnamed> (16991)                   1324.5                   1119.88          pg/mL      58
        D1             <unnamed> (16992)                      368                    278.10          pg/mL      50
        E1             <unnamed> (16993)                       93                     56.59          pg/mL      66
        F1             <unnamed> (16994)                       39                     14.99          pg/mL      66
        G1             <unnamed> (16995)                     26.5                      5.64          pg/mL      52
        H1             <unnamed> (16996)                       18                   <4.8828          pg/mL      70
        A2             <unnamed> (16997)                     7911                  20050.02          pg/mL      83
        B2             <unnamed> (16998)                     4347                   4941.40          pg/mL      64
        C2             <unnamed> (16999)                     1512                   1298.57          pg/mL      61
        D2             <unnamed> (17000)                    441.5                    339.00          pg/mL      60
        E2             <unnamed> (17001)                      118                     76.19          pg/mL      58
        F2             <unnamed> (17002)                       42                     17.26          pg/mL      67
        G2             <unnamed> (17003)                       24                      3.80          pg/mL      67
        H2             <unnamed> (17004)                       20                      0.92          pg/mL      85
        A3             <unnamed> (17005)                   7673.5                  17666.34          pg/mL      68
        B3             <unnamed> (17006)                     4553                   5316.01          pg/mL      59
        C3             <unnamed> (17007)                   1541.5                   1327.14          pg/mL      70
        D3             <unnamed> (17008)                      448                    344.42          pg/mL      74
        E3             <unnamed> (17009)                      111                     70.69          pg/mL      64
     Virtual Plate                                 Page - 15 of 41                        2005April13 Xenon cyto.mlx

    12/9/2005                                    Report By Analytes                                       1:06:54 PM
       Well                  Sample Name                      MFI             Concentration           Unit   Count
        F3             <unnamed> (17010)                       41                     16.50          pg/mL      56
        G3             <unnamed> (17011)                       24                      3.80          pg/mL      63
        H3             <unnamed> (17012)                       18                   <4.8828          pg/mL      60
        A4             <unnamed> (17013)                     40.5                      0.00          pg/mL      64
        B4             <unnamed> (17014)                       33                      0.00          pg/mL      64
        C4             <unnamed> (17015)                       22                      0.00          pg/mL      57
        D4             <unnamed> (17016)                     24.5                      0.00          pg/mL      52
        E4             <unnamed> (17017)                      293                    216.62          pg/mL      57
        F4             <unnamed> (17018)                    379.5                    287.59          pg/mL      62
        G4             <unnamed> (17019)                      275                    201.97          pg/mL      50
        H4             <unnamed> (17020)                      338                    253.43          pg/mL      57
        A5             <unnamed> (17021)                     1938                   1724.44          pg/mL      66
        B5             <unnamed> (17022)                     2038                   1828.80          pg/mL      77
        C5             <unnamed> (17023)                   2242.5                   2047.91          pg/mL      66
        D5             <unnamed> (17024)                     1951                   1737.91          pg/mL      58
        E5             <unnamed> (17025)                       28                     33.75          pg/mL     251
        A6             <unnamed> (17026)                       21                      8.16          pg/mL      55
        B6             <unnamed> (17027)                       62                    162.72          pg/mL     116
        C6             <unnamed> (17028)                       71                    197.44          pg/mL      64
        D6             <unnamed> (17029)                     1489                   6381.88          pg/mL      69
        E6             <unnamed> (17030)                       26                     26.36          pg/mL     163
        F6             <unnamed> (17031)                       23                     15.38          pg/mL     306
        G6             <unnamed> (17032)                       82                    240.09          pg/mL      85
        H6             <unnamed> (17033)                       25                     22.69          pg/mL     233
        A7             <unnamed> (17034)                       32                     48.63          pg/mL     157
        B7             <unnamed> (17035)                       28                     33.75          pg/mL     117
        C7             <unnamed> (17036)                       23                     15.38          pg/mL     128
        D7             <unnamed> (17037)                       29                     37.46          pg/mL     115
        E7             <unnamed> (17038)                       58                    147.34          pg/mL      71
        F7             <unnamed> (17039)                     30.5                     43.04          pg/mL      74
        G7             <unnamed> (17040)                       24                     19.02          pg/mL      87
        H7             <unnamed> (17041)                     1072                   4434.29          pg/mL      71
        A8             <unnamed> (17042)                       29                     37.46          pg/mL     172
        B8             <unnamed> (17043)                   1259.5                   5295.44          pg/mL      58
        C8             <unnamed> (17044)                       24                     19.02          pg/mL      87
        D8             <unnamed> (17045)                       27                     30.05          pg/mL      57
        E8             <unnamed> (17046)                   1241.5                   5211.77          pg/mL     100
        F8             <unnamed> (17047)                     67.5                    183.92          pg/mL      66
        G8             <unnamed> (17048)                       45                     97.67          pg/mL     294
        H8             <unnamed> (17049)                       24                     19.02          pg/mL     117
        A9             <unnamed> (17050)                     23.5                     17.20          pg/mL      66
        B9             <unnamed> (17051)                       71                    197.44          pg/mL      75
        C9             <unnamed> (17052)                     26.5                     28.20          pg/mL      64
        D9             <unnamed> (17053)                       39                     74.94          pg/mL     200
        E9             <unnamed> (17054)                       27                     30.05          pg/mL     132
        F9             <unnamed> (17055)                       44                     93.87          pg/mL      77
        G9             <unnamed> (17056)                       29                     37.46          pg/mL     248
        H9             <unnamed> (17057)                     9618                >2000.0000          pg/mL     118
     Virtual Plate                                 Page - 16 of 41                        2005April13 Xenon cyto.mlx

    12/9/2005                                    Report By Analytes                                       1:06:54 PM
       Well                  Sample Name                      MFI             Concentration           Unit   Count
        A10            <unnamed> (17058)                       26                     26.36          pg/mL     222
        B10            <unnamed> (17059)                       49                    112.90          pg/mL     167
        C10            <unnamed> (17060)                       33                     52.37          pg/mL      74
